timestamp,PktIn,KBIn,AVG_RR,Inter,CTXSW,KBOut,CPU,SUM_RR,PktOut,vm_number,AVG_LAT_05
0,108.13990622012214,26.193229407292574,3.2496562386878693,9.55443048220463,15.55360094754202,4.056635156159178,1.9115624933458053,13.386896015325288,36.01484917958443,3,82.46314459685313
1,110.00820411061255,26.3121562269653,3.596557873448535,9.763792730165209,17.213951827392613,4.48968199678975,2.1156222784991385,14.815950589406178,35.80948779889354,3,84.1997205164773
2,111.79171460879422,26.441570559222505,3.94318048837988,10.185577952731505,18.872967254271266,4.922380529302245,2.3195179343411056,16.24385574669741,35.59480805822681,3,85.98948062091256
3,113.49639564976742,26.580950747563183,4.289245366058617,10.822717096819494,20.529313222590794,5.3543828230803525,2.523085509446245,17.669463316165164,35.37179602059832,3,87.83507866140529
4,115.12751849704698,26.729728155894943,4.634474393538294,11.660831050973579,22.18165861992888,5.78534170209279,2.7261614079637027,19.09162761690621,35.14135148806758,3,89.73196210793127
5,116.6897697176846,26.88729437432672,4.978590363749996,12.667262670921353,23.828676669601162,6.214911121140099,2.9285825669117624,20.509206699762327,34.90430300056479,3,91.66803006331396
6,115.85924855081458,26.921480150432583,5.321317275898842,12.108610058565835,22.9450868184034,5.984456343106158,3.1301866328816716,19.748705932250324,35.03235439193049,3,90.86574599038417
7,117.23217583468532,27.079478915658076,5.662380634523283,13.058683314171223,24.415724250540386,6.368022793685138,3.3308121379548727,21.014475219160957,34.818135918835196,3,92.62377489232355
8,118.5521268645789,27.243906378216835,6.0015077468856495,14.084140474890201,25.878012746449432,6.749411704263379,3.530298674638617,22.273058624069154,34.59986234176638,3,94.38782786641599
9,119.8217244578021,27.414148767771447,6.338428018364331,15.135516710109638,27.330785524154667,7.1283187588950865,3.728487069626077,23.523451904353788,34.37809960097334,3,96.13835842187008
10,128.4566941213325,43.88280486393113,10.009309868280184,26.689411621914942,38.53511532892506,10.050592407327384,8.831744001423692,22.111303296120248,52.57916754007639,2,131.93280179986863
11,129.76294394654036,44.346994095721676,10.506866859767822,27.858202948108588,40.450673574399126,10.550201529900942,9.270764876265725,23.210443365782073,52.28696499409064,2,134.21612829614853
12,131.0166074481509,44.815879965685205,10.999919172809363,28.485710611111447,42.34888913534005,11.04528739486897,9.705811034831791,24.299632268711736,51.99135678789198,2,136.25121263131416
