timestamp,PktIn,KBIn,AVG_RR,Inter,CTXSW,KBOut,CPU,SUM_RR,PktOut,vm_number,AVG_LAT_05
1571923606,0.29165833437485417,0.02978422049457184,16.015706051854675,5921.905442102705,3359.291450269426,0.4392675445608391,53.50088405172463,64.07666170741871,0.2416600008332167,5,466.25
1571923621,0.30001000125017496,0.03058368664898405,17.872609922554084,5831.266601426662,3273.530408646793,0.4401435004044774,54.386839298708544,71.5071230235497,0.2500108347502021,5,457.25
1571923637,0.2750050012501625,0.029102064741430712,17.78113703407415,5744.585007776124,3250.3383973328546,0.44323665348366215,52.858070343303204,71.1245481362966,0.2916725014585229,5,433.25
1571923652,0.2750020834375052,0.02932966106313128,17.76875,5920.160014667401,3296.357450789207,0.4405066078499237,51.44564811573906,71.075,0.24166833341667085,5,410.25
1571923683,0.3000041682085188,0.03058307022354952,17.893864534113348,6047.794643965065,3333.3592897293347,0.4406202086793403,53.04371295390453,71.5754581364534,0.2500012509376031,5,429.25
1571923699,0.2749920873113868,0.029100644162716707,17.25,5890.584357221418,3213.457578850193,0.4392518968477208,48.737741426522,69.0,0.22499375318660966,5,472.5
1571923714,0.2833233372072149,0.02944220705791876,17.112499999999994,5912.342297618437,3272.6005568324267,0.4404119576990707,48.512964979366245,68.45,0.2499920864366055,5,517.0
1571923730,0.2916816711680171,0.030014527633029493,17.06875,5989.962734653729,3309.754415491314,0.4395153718641634,50.54513354006204,68.275,0.23334583708445866,5,450.75
1571923745,0.275,0.0291015625,17.549784692882678,5992.108333333334,3318.066666666666,0.4402425130208333,52.233333333333356,70.19913877153071,0.2416666666666667,5,408.5
1571923776,0.2833312501041615,0.0296709900019322,18.46273547463685,5953.395794793594,3291.3887563955127,0.4414920977583933,52.491883739146424,73.85094189854745,0.2583316667499958,5,421.5
1571923791,0.30000041689583434,0.030354834822428425,18.23136594039851,6084.344282104882,3475.919683486216,0.4416179211056317,56.5548391192933,72.92546376159403,0.2666679168958365,5,457.0
1571923807,0.2833358334583396,0.03012720419549623,18.706961669250386,5818.667632131606,3324.655793206327,0.4419144817917979,53.29085600113344,74.82784667700156,0.2500020834375052,5,434.75
1571923823,0.26666666666666666,0.028759765625,18.43102703682408,5675.3166666666675,3262.891666666667,0.4409261067708333,54.66249999999995,73.72410814729632,0.2416666666666667,5,379.5
